,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales
226,Wii,2008.0,Simulation,Nintendo,1.87,1.12,1.32,4.68
230,Wii,2007.0,Misc,Activision,3.06,1.12,0.0,4.62
233,Wii,2009.0,Sports,Sega,1.89,1.99,0.22,4.58
247,Wii,2010.0,Misc,Ubisoft,2.67,1.35,0.01,4.42
266,PSP,2006.0,Platform,Sony Computer Entertainment,2.45,1.02,0.0,4.22
284,Wii,2011.0,Action,Nintendo,2.14,1.2,0.37,4.1
288,PC,2007.0,Role-Playing,Activision,2.57,1.52,0.0,4.09
300,DS,2007.0,Puzzle,Nintendo,0.92,1.78,0.92,4.0
303,Wii,2009.0,Sports,Electronic Arts,2.1,1.36,0.06,3.92
316,DS,2007.0,Misc,Nintendo,0.87,1.57,1.05,3.84
319,DS,2009.0,Role-Playing,Nintendo,2.26,0.48,0.81,3.83
320,Wii,2007.0,Misc,Nintendo,1.06,1.93,0.41,3.82
323,Wii,2011.0,Sports,Sega,1.14,1.91,0.27,3.78
326,PSP,2007.0,Platform,Sony Computer Entertainment,1.4,1.4,0.1,3.77
327,Wii,2013.0,Misc,Ubisoft,1.98,1.47,0.0,3.76
328,PC,2002.0,Simulation,Electronic Arts,2.03,1.56,0.0,3.76
329,Wii,2007.0,Platform,Nintendo,1.98,0.88,0.59,3.76
337,DS,2007.0,Simulation,Electronic Arts,1.59,1.61,0.08,3.69
338,DS,2009.0,Misc,Nintendo,0.0,0.0,3.67,3.67
343,Wii,2008.0,Misc,Activision,2.33,0.97,0.0,3.65
370,DS,2009.0,Sports,Sega,1.22,1.66,0.27,3.52
376,DS,2006.0,Misc,Nintendo,0.59,1.83,0.73,3.5
380,DS,2008.0,Misc,Activision,2.11,1.01,0.01,3.48
396,DS,2009.0,Action,Nintendo,1.43,0.94,0.74,3.38
399,DS,2008.0,Puzzle,Nintendo,0.65,1.61,0.82,3.36
402,DS,2006.0,Misc,Nintendo,0.0,0.99,2.32,3.33
405,Wii,2012.0,Misc,Nintendo,1.15,1.17,0.76,3.32
412,Wii,2008.0,Misc,Nintendo,1.36,1.13,0.46,3.27
413,PSP,2009.0,Racing,Sony Computer Entertainment,0.5,1.59,0.31,3.27
425,PSP,2008.0,Action,Sony Computer Entertainment,1.48,1.01,0.04,3.19
432,DS,2008.0,Misc,Nintendo,0.58,0.51,1.93,3.17
437,DS,2005.0,Platform,Sega,1.22,1.57,0.06,3.15
444,DS,2006.0,Misc,Nintendo,0.91,1.0,1.03,3.12
456,PC,2002.0,Simulation,Electronic Arts,1.72,1.21,0.0,3.07
473,PC,2000.0,Misc,Electronic Arts,1.67,1.18,0.0,2.99
478,PC,2014.0,Simulation,Electronic Arts,0.96,1.72,0.0,2.97
479,PC,2011.0,Role-Playing,Electronic Arts,1.58,1.01,0.0,2.97
481,DS,2008.0,Platform,Nintendo,1.57,0.04,1.19,2.96
490,Wii,2006.0,Puzzle,Nintendo,0.87,1.06,0.73,2.92
503,DS,2007.0,Simulation,Ubisoft,1.3,1.27,0.0,2.88
512,Wii,2011.0,Action,Activision,1.4,1.14,0.0,2.85
523,DS,2007.0,Simulation,Ubisoft,1.32,1.19,0.0,2.81
526,DS,2006.0,Platform,Nintendo,1.47,0.07,1.1,2.8
533,PC,2011.0,Shooter,Electronic Arts,0.89,1.43,0.0,2.79
535,DS,2009.0,Puzzle,Nintendo,0.3,1.47,0.68,2.79
542,Wii,2007.0,Platform,Sega,1.24,1.2,0.04,2.77
558,DS,2010.0,Puzzle,Nintendo,1.63,0.52,0.35,2.69
571,Wii,2012.0,Action,Activision,1.56,0.88,0.0,2.65
572,PSP,2006.0,Shooter,Electronic Arts,0.86,1.11,0.01,2.65
577,PSP,2006.0,Fighting,Sony Computer Entertainment,0.76,1.1,0.12,2.63
581,Wii,2007.0,Sports,Nintendo,1.07,1.06,0.24,2.62
585,DS,2008.0,Simulation,Nintendo,0.63,0.84,0.96,2.61
587,Wii,2010.0,Platform,Nintendo,1.02,0.52,0.92,2.6
592,PSP,2009.0,Platform,Sony Computer Entertainment,0.64,1.24,0.01,2.58
598,DS,2010.0,Misc,Nintendo,0.28,1.68,0.33,2.57
605,Wii,2008.0,Sports,Konami Digital Entertainment,1.13,0.87,0.29,2.54
627,Wii,2010.0,Misc,THQ,1.67,0.58,0.0,2.46
633,PSP,2006.0,Racing,Electronic Arts,0.87,0.98,0.0,2.44
675,Wii,2013.0,Platform,Activision,1.32,0.83,0.0,2.34
677,Wii,2008.0,Sports,Ubisoft,1.2,0.9,0.0,2.34
682,Wii,2010.0,Misc,Ubisoft,1.57,0.56,0.0,2.32
686,DS,2004.0,Puzzle,Nintendo,0.52,0.45,1.21,2.31
692,DS,2008.0,Role-Playing,Nintendo,0.95,0.54,0.62,2.3
698,Wii,2014.0,Misc,Ubisoft,1.11,0.98,0.0,2.28
707,Wii,2006.0,Misc,Sega,1.07,0.92,0.04,2.27
718,Wii,2009.0,Role-Playing,Nintendo,0.67,0.41,1.05,2.25
723,DS,2008.0,Action,Activision,1.42,0.61,0.0,2.23
738,Wii,2008.0,Platform,Sega,1.28,0.68,0.02,2.2
750,DS,2006.0,Role-Playing,Nintendo,1.29,0.04,0.73,2.18
755,PC,2001.0,Simulation,Electronic Arts,1.23,0.83,0.0,2.16
756,Wii,2009.0,Sports,Ubisoft,1.51,0.47,0.0,2.16
761,PSP,2007.0,Shooter,Activision,0.52,1.03,0.0,2.14
768,DS,2006.0,Puzzle,Nintendo,0.64,0.07,1.35,2.13
773,Wii,2010.0,Platform,Nintendo,1.47,0.09,0.45,2.12
781,Wii,2010.0,Sports,Nintendo,0.9,0.45,0.63,2.11
788,PSP,2005.0,Racing,Electronic Arts,1.77,0.13,0.02,2.1
796,DS,2006.0,Simulation,Electronic Arts,0.92,0.94,0.0,2.09
798,PSP,2010.0,Action,Konami Digital Entertainment,0.46,0.42,0.96,2.09
799,PC,2010.0,Role-Playing,Activision,1.77,0.32,0.0,2.08
802,Wii,2007.0,Simulation,Konami Digital Entertainment,1.36,0.52,0.0,2.08
824,DS,2005.0,Role-Playing,Nintendo,1.16,0.06,0.83,2.05
831,Wii,2008.0,Misc,Ubisoft,0.73,1.09,0.0,2.04
859,DS,2010.0,Platform,Sega,0.99,0.8,0.0,1.97
861,Wii,2008.0,Shooter,Activision,1.2,0.59,0.0,1.97
866,PSP,2004.0,Sports,Sony Computer Entertainment,0.5,0.5,0.63,1.96
869,DS,2006.0,Platform,Nintendo,0.79,0.03,1.05,1.96
892,Wii,2008.0,Sports,Nintendo,1.51,0.0,0.29,1.93
896,Wii,2008.0,Misc,Electronic Arts,0.87,0.85,0.0,1.92
898,PC,2003.0,Simulation,Electronic Arts,1.03,0.8,0.0,1.92
933,Wii,2010.0,Action,Activision,0.85,0.71,0.13,1.86
936,Wii,2007.0,Misc,Ubisoft,0.83,0.82,0.0,1.85
945,PC,2012.0,Role-Playing,Activision,0.84,0.76,0.0,1.83
954,PC,2001.0,Simulation,Electronic Arts,1.81,0.0,0.0,1.82
955,Wii,2007.0,Shooter,Nintendo,0.91,0.74,0.07,1.82
956,DS,2010.0,Role-Playing,Nintendo,0.22,0.21,1.35,1.81
1019,Wii,2010.0,Platform,Sega,0.96,0.61,0.01,1.74
1036,DS,2008.0,Simulation,Ubisoft,0.7,0.83,0.0,1.72
1037,PC,2011.0,Shooter,Activision,0.41,0.98,0.0,1.72
1040,PC,2010.0,Simulation,Electronic Arts,0.59,0.87,0.0,1.71
1046,DS,2006.0,Misc,Nintendo,0.0,0.0,1.71,1.71
1051,Wii,2008.0,Sports,Namco Bandai Games,0.99,0.42,0.14,1.7
1052,DS,2007.0,Puzzle,Nintendo,0.49,1.12,0.0,1.7
1053,Wii,2011.0,Platform,Nintendo,0.62,0.21,0.79,1.7
1078,PC,2003.0,Simulation,Electronic Arts,1.67,0.0,0.0,1.68
1080,Wii,2007.0,Simulation,Electronic Arts,0.91,0.55,0.04,1.68
1082,Wii,2008.0,Sports,Ubisoft,0.94,0.57,0.0,1.67
1084,Wii,2008.0,Sports,THQ,0.45,1.02,0.0,1.67
1092,PC,2013.0,Strategy,Activision,0.82,0.65,0.0,1.67
1109,Wii,2011.0,Misc,Namco Bandai Games,0.48,0.68,0.33,1.65
1136,DS,2006.0,Sports,Nintendo,0.99,0.04,0.49,1.62
1139,Wii,2006.0,Role-Playing,Nintendo,0.8,0.38,0.3,1.61
1146,DS,2007.0,Action,THQ,1.5,0.0,0.0,1.61
1148,Wii,2008.0,Simulation,Konami Digital Entertainment,0.95,0.48,0.01,1.6
1149,DS,2011.0,Misc,Activision,0.4,0.99,0.0,1.6
1170,DS,2008.0,Misc,Activision,0.85,0.58,0.0,1.58
1171,DS,2008.0,Simulation,Electronic Arts,0.81,0.6,0.01,1.58
1174,Wii,2009.0,Misc,Activision,0.94,0.49,0.0,1.58
1178,DS,2009.0,Role-Playing,Nintendo,0.58,0.44,0.44,1.58
1212,PC,2003.0,Strategy,Activision,0.58,0.87,0.0,1.54
1217,PC,2012.0,Shooter,Activision,0.63,0.69,0.0,1.53
1219,Wii,2008.0,Simulation,Electronic Arts,0.71,0.65,0.01,1.53
1220,DS,2007.0,Action,Electronic Arts,0.57,0.79,0.0,1.53
1223,Wii,2009.0,Shooter,Activision,0.95,0.43,0.0,1.53
1229,PSP,2007.0,Racing,Sega,0.44,0.69,0.0,1.52
1242,Wii,2010.0,Racing,Sega,0.65,0.71,0.0,1.51
1244,PC,2011.0,Sports,Sega,0.02,1.16,0.0,1.51
1270,DS,2008.0,Adventure,THQ,1.0,0.36,0.0,1.49
1274,Wii,2010.0,Simulation,Electronic Arts,0.61,0.73,0.0,1.49
1275,Wii,2009.0,Sports,Nintendo,0.37,0.69,0.28,1.48
1276,DS,2006.0,Adventure,THQ,0.43,0.88,0.0,1.48
1285,DS,2007.0,Simulation,Ubisoft,0.39,0.92,0.0,1.47
1294,Wii,2008.0,Shooter,Sega,0.78,0.5,0.03,1.47
1302,DS,2008.0,Platform,THQ,0.46,0.83,0.0,1.46
1313,PSP,2006.0,Fighting,Sega,0.53,0.58,0.0,1.46
1320,PC,2011.0,Strategy,Ubisoft,0.0,1.13,0.0,1.45
1322,Wii,2007.0,Misc,Electronic Arts,0.53,0.76,0.0,1.45
1328,Wii,2008.0,Puzzle,Electronic Arts,0.97,0.34,0.0,1.45
1331,DS,2007.0,Misc,Ubisoft,0.37,0.9,0.0,1.45
1334,PSP,2006.0,Racing,Sega,0.73,0.42,0.0,1.44
1335,PC,2013.0,Simulation,Electronic Arts,0.48,0.77,0.0,1.44
1340,Wii,2006.0,Misc,Ubisoft,1.23,0.07,0.02,1.44
1347,Wii,2009.0,Action,Activision,0.91,0.39,0.0,1.43
1349,Wii,2008.0,Sports,Electronic Arts,0.81,0.48,0.0,1.43
1364,DS,2009.0,Role-Playing,Nintendo,0.0,0.21,1.18,1.42
1373,PSP,2004.0,Racing,Sony Computer Entertainment,0.36,0.45,0.32,1.41
1374,Wii,2010.0,Action,Nintendo,0.87,0.31,0.13,1.41
1379,Wii,2010.0,Shooter,Activision,0.82,0.47,0.0,1.4
1386,PC,2013.0,Shooter,Electronic Arts,0.38,0.86,0.0,1.4
1391,DS,2009.0,Action,Activision,1.27,0.02,0.0,1.39
1400,PSP,2005.0,Simulation,Electronic Arts,0.49,0.56,0.0,1.38
1407,Wii,2009.0,Misc,Electronic Arts,0.71,0.53,0.0,1.38
1418,DS,2010.0,Platform,Sega,0.74,0.5,0.01,1.37
1438,PSP,2008.0,Sports,Electronic Arts,0.23,0.73,0.02,1.35
1440,PSP,2007.0,Sports,Electronic Arts,0.2,0.76,0.0,1.35
1456,DS,2005.0,Role-Playing,Nintendo,0.77,0.07,0.43,1.34
1463,PC,2000.0,Strategy,Electronic Arts,1.32,0.02,0.0,1.34
1480,DS,2007.0,Simulation,Ubisoft,0.71,0.48,0.0,1.33
1481,DS,2010.0,Role-Playing,Nintendo,0.51,0.17,0.58,1.33
1483,PSP,2005.0,Racing,Electronic Arts,0.69,0.38,0.02,1.32
1486,PC,2008.0,Role-Playing,Activision,0.01,0.13,0.0,1.32
1511,Wii,2008.0,Sports,Ubisoft,1.11,0.04,0.06,1.31
1519,Wii,2007.0,Sports,Electronic Arts,0.69,0.48,0.0,1.3
1522,Wii,2010.0,Sports,Electronic Arts,0.78,0.4,0.0,1.3
1525,Wii,2006.0,Racing,Electronic Arts,0.46,0.66,0.02,1.29
1534,Wii,2008.0,Misc,Activision,1.04,0.14,0.0,1.29
1535,DS,2008.0,Adventure,Nintendo,0.76,0.4,0.0,1.29
1540,DS,2008.0,Simulation,Ubisoft,0.55,0.59,0.0,1.28
1552,PC,2005.0,Simulation,Electronic Arts,1.22,0.05,0.0,1.27
1569,DS,2008.0,Action,Activision,0.56,0.57,0.0,1.26
1571,PC,2010.0,Sports,Sega,0.0,1.01,0.0,1.26
1578,DS,2007.0,Action,THQ,0.5,0.62,0.0,1.26
1599,DS,2007.0,Action,Activision,1.12,0.03,0.0,1.24
1601,DS,2007.0,Racing,Nintendo,1.1,0.04,0.0,1.24
1603,PSP,2009.0,Action,Ubisoft,0.43,0.48,0.05,1.24
1629,Wii,2008.0,Puzzle,Electronic Arts,0.72,0.38,0.0,1.23
1631,Wii,2007.0,Simulation,Electronic Arts,0.45,0.64,0.0,1.23
1641,PSP,2006.0,Racing,THQ,0.72,0.29,0.0,1.22
1654,PSP,2010.0,Sports,Electronic Arts,0.13,0.7,0.01,1.21
1656,DS,2009.0,Action,Activision,0.66,0.43,0.0,1.21
1664,PSP,2006.0,Sports,Electronic Arts,0.24,0.65,0.0,1.21
1665,PSP,2005.0,Sports,Konami Digital Entertainment,0.01,0.88,0.31,1.2
1670,Wii,2015.0,Misc,Ubisoft,0.52,0.59,0.0,1.2
1681,DS,2006.0,Puzzle,Nintendo,0.74,0.03,0.36,1.2
1682,Wii,2009.0,Adventure,Nintendo,0.55,0.17,0.42,1.2
1685,PSP,2006.0,Action,Konami Digital Entertainment,0.38,0.35,0.38,1.19
1688,PSP,2007.0,Fighting,THQ,0.45,0.47,0.0,1.19
1690,Wii,2008.0,Sports,Konami Digital Entertainment,0.09,0.84,0.11,1.19
1717,PC,2008.0,Strategy,Electronic Arts,0.03,1.06,0.0,1.17
1723,Wii,2008.0,Platform,Nintendo,0.6,0.31,0.15,1.17
1724,DS,2007.0,Platform,Sega,0.54,0.49,0.01,1.17
1734,PC,2012.0,Sports,Sega,0.0,0.95,0.0,1.17
1740,Wii,2009.0,Sports,Electronic Arts,0.78,0.28,0.0,1.16
1755,PSP,2007.0,Shooter,Electronic Arts,0.5,0.39,0.02,1.16
1759,PSP,2009.0,Sports,Electronic Arts,0.15,0.68,0.01,1.16
1761,PC,2008.0,Simulation,Sega,0.0,1.14,0.0,1.15
1768,Wii,2009.0,Platform,Sega,0.69,0.35,0.01,1.15
1769,PC,2007.0,Shooter,Activision,0.0,1.12,0.0,1.15
1789,Wii,2009.0,Platform,Ubisoft,0.26,0.75,0.0,1.14
1825,PSP,2005.0,Shooter,Sony Computer Entertainment,1.03,0.0,0.01,1.12
1842,Wii,2007.0,Racing,Electronic Arts,0.54,0.46,0.0,1.11
1845,PSP,2004.0,Puzzle,Ubisoft,0.52,0.35,0.0,1.11
1854,DS,2007.0,Simulation,Ubisoft,0.47,0.52,0.0,1.1
1862,Wii,2008.0,Shooter,Electronic Arts,0.92,0.09,0.0,1.1
1867,PSP,2005.0,Role-Playing,Activision,0.54,0.33,0.01,1.1
1871,DS,2008.0,Simulation,Ubisoft,0.63,0.36,0.0,1.09
1872,PSP,2007.0,Action,Electronic Arts,0.24,0.55,0.0,1.09
1879,PSP,2005.0,Misc,Sony Computer Entertainment,0.75,0.18,0.0,1.09
1882,PC,2009.0,Strategy,Sega,0.01,0.97,0.0,1.09
1884,Wii,2009.0,Sports,Electronic Arts,0.61,0.37,0.0,1.09
1888,DS,2010.0,Racing,Sega,0.44,0.54,0.0,1.09
1890,Wii,2007.0,Adventure,Nintendo,0.44,0.47,0.09,1.09
1897,Wii,2009.0,Sports,THQ,0.87,0.12,0.0,1.08
1899,DS,2009.0,Adventure,Electronic Arts,0.55,0.43,0.0,1.08
1903,Wii,2010.0,Sports,Electronic Arts,0.26,0.69,0.0,1.08
1910,DS,2008.0,Simulation,Electronic Arts,0.67,0.3,0.0,1.08
1920,DS,2008.0,Simulation,Ubisoft,0.65,0.32,0.0,1.07
1927,DS,2005.0,Platform,Nintendo,0.72,0.06,0.21,1.07
1932,PSP,2005.0,Sports,Sony Computer Entertainment,0.1,0.63,0.0,1.07
1944,DS,2007.0,Shooter,Activision,0.96,0.02,0.01,1.06
1946,Wii,2008.0,Sports,Sega,0.28,0.65,0.0,1.06
1966,PSP,2006.0,Shooter,Sony Computer Entertainment,0.81,0.11,0.0,1.05
1967,Wii,2014.0,Action,Activision,0.42,0.54,0.0,1.05
1970,Wii,2010.0,Misc,Ubisoft,0.27,0.66,0.0,1.05
1980,DS,2007.0,Simulation,Ubisoft,0.45,0.49,0.0,1.05
1984,Wii,2009.0,Adventure,Electronic Arts,0.62,0.32,0.0,1.05
1986,DS,2012.0,Role-Playing,Nintendo,0.58,0.06,0.37,1.05
2006,DS,2011.0,Platform,Nintendo,0.52,0.06,0.41,1.04
2008,DS,2010.0,Simulation,Activision,0.68,0.27,0.0,1.04
2010,PSP,2009.0,Racing,Sony Computer Entertainment,0.16,0.58,0.0,1.04
2011,PSP,2005.0,Racing,Sony Computer Entertainment,0.47,0.34,0.0,1.04
2015,Wii,2007.0,Sports,Electronic Arts,0.94,0.02,0.0,1.03
2021,Wii,2007.0,Action,Electronic Arts,0.45,0.47,0.0,1.03
2026,Wii,2007.0,Sports,Electronic Arts,0.32,0.59,0.01,1.02
2031,DS,2007.0,Simulation,Ubisoft,0.51,0.4,0.0,1.02
2034,Wii,2008.0,Platform,THQ,0.51,0.4,0.0,1.02
2043,PSP,2010.0,Action,Sony Computer Entertainment,0.41,0.36,0.03,1.01
2048,Wii,2010.0,Misc,Activision,0.48,0.44,0.0,1.01
2049,DS,2006.0,Misc,Sega,0.0,0.0,1.01,1.01
2054,Wii,2009.0,Shooter,Electronic Arts,0.93,0.0,0.0,1.0
2073,DS,2005.0,Strategy,THQ,0.86,0.04,0.01,1.0
2076,Wii,2010.0,Misc,THQ,0.89,0.04,0.0,1.0
2079,DS,2008.0,Puzzle,Ubisoft,0.17,0.78,0.0,1.0
2085,DS,2008.0,Simulation,Electronic Arts,0.59,0.31,0.0,0.99
2088,PSP,2006.0,Simulation,Namco Bandai Games,0.37,0.31,0.12,0.99
2091,Wii,2009.0,Misc,Activision,0.6,0.3,0.0,0.99
2092,Wii,2009.0,Racing,THQ,0.61,0.3,0.0,0.99
2099,Wii,2007.0,Fighting,THQ,0.38,0.5,0.0,0.99
2100,Wii,2009.0,Sports,Electronic Arts,0.23,0.65,0.0,0.99
2104,DS,2006.0,Racing,THQ,0.85,0.05,0.0,0.98
2105,PSP,2008.0,Sports,Konami Digital Entertainment,0.02,0.53,0.19,0.98
2106,PC,2012.0,Shooter,Ubisoft,0.21,0.62,0.0,0.98
2107,Wii,2010.0,Role-Playing,Nintendo,0.49,0.26,0.16,0.98
2126,DS,2006.0,Simulation,Namco Bandai Games,0.09,0.02,0.86,0.98
2129,Wii,2008.0,Platform,THQ,0.5,0.37,0.0,0.97
2131,PC,2012.0,Role-Playing,Electronic Arts,0.4,0.44,0.0,0.97
2148,DS,2005.0,Simulation,Electronic Arts,0.82,0.07,0.0,0.96
2153,DS,2011.0,Misc,THQ,0.72,0.17,0.0,0.96
2156,PSP,2006.0,Adventure,Sony Computer Entertainment,0.3,0.44,0.0,0.96
2163,DS,2008.0,Sports,Ubisoft,0.3,0.54,0.0,0.96
2168,PC,2011.0,Action,Namco Bandai Games,0.25,0.56,0.0,0.96
2187,Wii,2009.0,Misc,Activision,0.41,0.43,0.0,0.95
2191,Wii,2009.0,Sports,Activision,0.7,0.17,0.0,0.95
2193,Wii,2011.0,Misc,Nintendo,0.24,0.43,0.18,0.95
2201,Wii,2006.0,Racing,THQ,0.83,0.04,0.0,0.94
2202,PC,2012.0,Action,Ubisoft,0.28,0.53,0.0,0.94
2215,PSP,2008.0,Role-Playing,Sega,0.19,0.06,0.63,0.94
2225,Wii,2009.0,Sports,Electronic Arts,0.29,0.52,0.02,0.93
2228,Wii,2008.0,Racing,Sega,0.5,0.32,0.02,0.93
2252,PSP,2006.0,Action,THQ,0.55,0.21,0.0,0.92
2257,Wii,2008.0,Action,Activision,0.5,0.32,0.0,0.92
2260,PC,2008.0,Adventure,Ubisoft,0.01,0.83,0.0,0.92
2288,DS,2008.0,Shooter,Activision,0.57,0.26,0.0,0.91
2308,PSP,2009.0,Shooter,Sony Computer Entertainment,0.27,0.36,0.05,0.9
2314,Wii,2008.0,Misc,Sega,0.42,0.37,0.01,0.9
2317,Wii,2008.0,Sports,Electronic Arts,0.29,0.52,0.0,0.9
2318,DS,2008.0,Role-Playing,Nintendo,0.84,0.0,0.0,0.9
2326,PSP,2006.0,Shooter,Sony Computer Entertainment,0.44,0.28,0.0,0.89
2327,Wii,2007.0,Sports,Electronic Arts,0.82,0.01,0.0,0.89
2331,DS,2008.0,Role-Playing,Sega,0.51,0.29,0.01,0.89
2338,Wii,2008.0,Adventure,Ubisoft,0.36,0.43,0.0,0.89
2346,Wii,2006.0,Racing,Ubisoft,0.81,0.0,0.01,0.89
2347,PC,2009.0,Shooter,Activision,0.01,0.79,0.0,0.89
2350,Wii,2011.0,Shooter,Activision,0.6,0.21,0.0,0.89
2365,Wii,2009.0,Simulation,Nintendo,0.47,0.22,0.12,0.88
2368,PSP,2004.0,Strategy,Konami Digital Entertainment,0.32,0.26,0.12,0.88
2373,PSP,2009.0,Role-Playing,Sega,0.08,0.11,0.62,0.88
2380,Wii,2010.0,Sports,Ubisoft,0.71,0.11,0.0,0.87
2386,Wii,2010.0,Puzzle,THQ,0.61,0.19,0.0,0.87
2391,Wii,2009.0,Shooter,Sega,0.46,0.31,0.02,0.87
2395,PSP,2008.0,Misc,Sony Computer Entertainment,0.2,0.44,0.0,0.87
2403,PSP,2006.0,Puzzle,Sony Computer Entertainment,0.12,0.52,0.0,0.87
2411,PSP,2006.0,Sports,Konami Digital Entertainment,0.01,0.72,0.12,0.86
2423,DS,2008.0,Platform,Nintendo,0.61,0.0,0.2,0.86
2429,DS,2007.0,Sports,Electronic Arts,0.1,0.65,0.0,0.85
2431,Wii,2009.0,Racing,Electronic Arts,0.46,0.31,0.0,0.85
2432,Wii,2008.0,Sports,Electronic Arts,0.78,0.01,0.0,0.85
2438,Wii,2007.0,Simulation,Ubisoft,0.74,0.04,0.0,0.85
2440,DS,2007.0,Action,Electronic Arts,0.28,0.47,0.0,0.85
2442,PSP,2005.0,Racing,Electronic Arts,0.7,0.06,0.0,0.85
2450,Wii,2010.0,Misc,Konami Digital Entertainment,0.52,0.25,0.0,0.85
2454,DS,2010.0,Role-Playing,Nintendo,0.56,0.11,0.13,0.84
2460,DS,2008.0,Simulation,Ubisoft,0.46,0.3,0.0,0.84
2480,Wii,2008.0,Fighting,THQ,0.44,0.31,0.0,0.83
2483,DS,2008.0,Strategy,Ubisoft,0.38,0.37,0.0,0.83
2495,Wii,2008.0,Misc,Ubisoft,0.77,0.0,0.0,0.83
2506,PSP,2005.0,Sports,Activision,0.46,0.21,0.0,0.82
2517,PSP,2005.0,Adventure,Sony Computer Entertainment,0.19,0.41,0.0,0.82
2522,Wii,2010.0,Misc,Electronic Arts,0.47,0.28,0.0,0.82
2525,DS,2008.0,Simulation,Ubisoft,0.4,0.33,0.0,0.82
2535,PSP,2007.0,Misc,Sony Computer Entertainment,0.33,0.25,0.07,0.81
2539,Wii,2010.0,Sports,Electronic Arts,0.77,0.0,0.0,0.81
2562,Wii,2009.0,Action,Sega,0.46,0.25,0.02,0.8
2567,Wii,2011.0,Misc,Ubisoft,0.19,0.5,0.0,0.8
2570,PSP,2006.0,Simulation,Electronic Arts,0.19,0.39,0.0,0.8
2573,PSP,2009.0,Sports,Konami Digital Entertainment,0.09,0.33,0.2,0.8
2578,Wii,2008.0,Sports,THQ,0.43,0.29,0.0,0.8
2579,PSP,2007.0,Simulation,Electronic Arts,0.08,0.46,0.0,0.8
2584,DS,2007.0,Misc,Ubisoft,0.73,0.01,0.0,0.8
2595,PSP,2010.0,Sports,Konami Digital Entertainment,0.05,0.3,0.29,0.79
